Species,Cohort,MATRR ID,Date of BC,Timepoint,State,TP:,ALB:,ALKP:,ALT:,AST:,GGT:,TBIL:,GLU:,BUN:,CREA:,K:,NA:,CL:,Ca:,PHOS:,Fe:,CHOL:,LDH:,TRIG:,A/G ratio:,DBIL:,Glob:,Amyl:,MG:,WBC:,NEUT%:,BAND%:,LY%,MONO%:,EOS%:,BASO%:,HCT:,HGB:,RBC:,MCV:,MCH:,MCHC:,PLT:,,
cyno,2,10022,3/27/2006,H2O induction,sedated,6.8,4,87,62,77,41,0.4,59,24,1.3,4.4,146,109,9.6,3.6,75,60,546,91,1.4,0.1,2.8,,,10.8,41,0,53.2,3,2,0.8,36.6,11.9,4.95,74,24,32.5,320,,
cyno,2,10022,10/26/2006,open access 1,sedated,7.3,4.4,80,25,30,51,0.5,55,14,1,4.6,151,106,10,5.2,172,116,391,217,1.5,0.1,2.9,,,6.9,39.3,0,55.7,3.2,1.1,0.7,39.7,12.7,5.15,77,24.7,32,549,,
cyno,2,10022,4/18/2007,open access 2,sedated,6.4,3.5,66,23,43,41,0.1,38,13,1.3,4.1,147,103,9.3,4.3,167,93,649,86,1.2,0,2.9,,,10.7,48,0,47,3.4,0.9,0.7,37.5,12.4,4.91,76,25.3,33.1,455,,
cyno,2,10022,10/31/2007,before withdrawl 1,sedated,6.4,4.1,51,38,63,47,0.3,56,13,1.1,4.4,159,103,9.7,3.1,161,93,448,84,1.8,0.1,2.3,,,10.3,41.1,0,54.3,3,0.9,0.7,40.4,12.8,5.14,79,24.9,31.7,439,,
cyno,2,10022,4/24/2008,withdrawl 2,sedated,6.8,4.2,60,29,51,47,0.3,54,13.4,1.1,4.6,149,103,9.7,4.5,174,101,682,171,1.6,0.1,2.6,,,8.9,20.8,0,75.3,2.5,0.9,0.5,39.9,12.7,5.24,76,24.2,31.8,420,,
cyno,2,10022,11/21/2008,before withdrawl 3,sedated,6.5,4.2,47,25,40,42,0.3,55,17.9,1.4,3.9,151,109,9.3,3.3,181,108,488,67,1.8,0.1,2.3,,,4.7,43.1,0,52,3.1,1.4,0.4,36.9,12.2,4.87,76,25.1,33.1,419,,
cyno,2,10023,8/17/2005,pre-induction,sedated,7.2,,,,,,,,,,,,,,,,,,,,,,,,8.5,41.8,0,51,4.9,1.6,0.7,40.7,13.7,5.57,73,24.6,33.7,426,,
cyno,2,10023,2/6/2006,H2O induction,awake,,,,,,,,,,,,,,,,,,,,,,,,,8,43,0,49.5,4.5,1.8,1.2,44.7,14.2,5.79,77,24.5,31.8,171,,
cyno,2,10023,3/27/2006,H2O induction,sedated,7,4.2,82,39,45,43,0.2,52,24,1.2,4.9,146,109,9.8,3.8,76,72,1013,96,1.5,0,2.8,,,8.6,44.2,0,46.9,5.2,3,0.7,39.6,13,5.12,77,25.4,32.8,424,,
cyno,2,10023,10/26/2006,open access 1,sedated,7.6,4.3,62,23,40,55,0.6,52,15,1,4.6,148,105,9.6,4.4,206,98,901,207,1.3,0.1,3.3,,,8.9,62.6,0,31.4,3.8,1.7,0.5,41.5,13.4,5.25,79,25.5,32.3,693,,
